Question,Option A,Option B,Option C,Option D,Correct Answer
62. What is the integral of º x^2 ln(x) dx?,x^2ln(x) - x^2/2 + C,x^2ln(x) + C,x^2ln(x) - 2x + C,x^3ln(x)/3 + C,A
63. What is the second derivative of f(x) = ln(x)?,-1/x_,1/x_,-1/x,1/x,A
64. Find the integral of º (5x^2 + 3) dx.,5x^3/3 + 3x + C,5x^3/3 + 3x^2 + C,5x^3/3 + 3x^3 + C,5x^3 + 3x + C,A
65. The derivative of f(x) = sec(x) is:,sec(x)tan(x),sec_(x),tan(x),sec(x),A
66. The integral of º cos^2(x) dx is:,(x + sin(x)cos(x)) + C,(x + sin^2(x)) + C,(x/2 + sin(x)cos(x)/2) + C,(x + cos^2(x)) + C,C
67. What is the second derivative of f(x) = e^(2x)?,e^(2x),2e^(2x),4e^(2x),4e^(2x),C
68. What is the value of lim__° (x/x^2)?,0,1,°,-1,A
69. The integral of º sec_(x) dx is:,tan(x) + C,sec(x) + C,-tan(x) + C,-sec(x) + C,A
70. What is the derivative of f(x) = x^3 ln(x)?,3x_ ln(x) + x_/x,3x_ ln(x) + x_,3x_ ln(x) - x,3x_ ln(x) + x,B
71. Find the integral of º x e^x dx.,x e^x - e^x + C,x e^x + C,x_ e^x + C,x_ e^x - e^x + C,A
72. The derivative of f(x) = tan(x^2) is:,2xsec_(x_),2xsec_(x_) + 2tan(x_),2xsec_(x),2xsin(x_),A
73. What is the integral of º (2x + 3) dx?,x_ + 3x + C,x_ + 3x + C,x_ + C,x_ + 3x + C,A
74. The second derivative of f(x) = ln(x_ + 1) is:,2x/(x_ + 1)_,2x/(x_ + 1),2x/(x_ + 1)_,2x_/(x_ + 1),A
75. What is the derivative of f(x) = x_?,4x_,4x_,3x_,4x,A
76. Find the integral of º 2x cos(x) dx.,2x sin(x) + C,-2x sin(x) + C,2x cos(x) + C,-2x cos(x) + C,B
77. What is the second derivative of f(x) = x^2?,2x,2,2x_,x_,B
78. The derivative of f(x) = sin(x) is:,cos(x),-cos(x),sin(x),-sin(x),A
79. Find the integral of º x^2 e^(-x) dx.,-x_ e^(-x) + 2x e^(-x) + C,x_ e^(-x) + C,x_ e^(-x) - 2x e^(-x) + C,e^(-x) + C,C
80. The second derivative of f(x) = e^(x^2) is:,2x e^(x^2),e^(x^2),4x_ e^(x_),e^(x_),A
81. What is the limit of (x_ - 4x + 4)/(x - 2) as x _ 2?,2,4,0,1,A
82. The derivative of f(x) = 1/(x^3) is:,-3x__,-3x__,3x__,-3x_,B
83. Find the integral of º sin(x)cos(x) dx.,sin_(x) + C,cos_(x) + C,cos(x)sin(x) + C,-cos_(x) + C,A
84. What is the second derivative of f(x) = ln(x)?,-1/x_,1/x_,-1/x,1/x,A
85. What is the value of º__ (x_ + 1) dx?,2,3-Jan,3-Feb,2-Mar,A
86. The integral of º cos(x) dx is:,sin(x) + C,-sin(x) + C,cos(x) + C,-cos(x) + C,A
87. What is the derivative of f(x) = x_ ln(x)?,2x ln(x) + x,2x ln(x) - x,2x ln(x) + x_,2x ln(x) + 2x,A
88. The second derivative of f(x) = e^(x^2) is:,2x e^(x_),e^(x_),4x_ e^(x_),e^(x_),A
89. What is the integral of º e^(2x) dx?,e^(2x)/2 + C,e^(2x) + C,2e^(2x) + C,e^(2x)/2,A
90. The derivative of f(x) = ln(x) is:,1/x,1/x_,x,ln(x),A
91. What is the limit of (x_ - 1)/(x - 1) as x _ 1?,1,2,0,°,B
92. Find the integral of º (2x + 3) dx.,x_ + 3x + C,x_ + 3x + C,x_ + C,x_ + 3x + C,A
93. What is the second derivative of f(x) = e^(-x_)?,2xe^(-x_),-2xe^(-x_),e^(-x_),-2xe^(-x_),B
94. The derivative of f(x) = tan(x^2) is:,2xsec_(x_),2xsec_(x_) + 2tan(x_),2xsec_(x),2xsin(x_),A
95. What is the value of lim__0 (sin(x)/x)?,1,0,°,-1,A
96. The integral of º x^2 e^x dx is:,x^2 e^x - 2x e^x + 2e^x + C,e^x(x^2 - 2x + 2) + C,x^2 e^x + C,x^3 e^x + C,B
97. What is the second derivative of f(x) = ln(x)?,-1/x_,1/x_,-1/x,1/x,A
98. The derivative of f(x) = sin(x)cos(x) is:,cos_(x) - sin_(x),sin_(x) - cos_(x),2sin(x)cos(x),sin(2x),C
99. The limit of (e^x - 1)/x as x _ 0 is:,1,0,°,-1,A
100. What is the derivative of f(x) = ln(x^2)?,2/x,1/x,2/x_,1/(2x),A
